date,win,lose,probability
1573088400000 	,Miami Heat,Phoenix Suns,0.8394390414120525
1573093800000 	,Portland Trail Blazers,Los Angeles Clippers,0.51348280070255
1573167600000 	,Indiana Pacers,Detroit Pistons,0.6200732289822497
1573167600000 	,Memphis Grizzlies,Orlando Magic,0.5456186823240202
1573167600000 	,Washington Wizards,Cleveland Cavaliers,0.6128052473093429
1573169400000 	,Sacramento Kings,Atlanta Hawks,0.7291789156105437
1573171200000 	,Golden State Warriors,Minnesota Timberwolves,0.7417729799482322
1573171200000 	,Toronto Raptors,New Orleans Pelicans,0.7496581051203841
1573173000000 	,Dallas Mavericks,New York Knicks,0.7379398807467682
1573174800000 	,Denver Nuggets,Philadelphia 76ers,0.6665439701294386
1573174800000 	,Milwaukee Bucks,Utah Jazz,0.51970086722102
1573178400000 	,Portland Trail Blazers,Brooklyn Nets,0.6811182361865205
1573180200000 	,Los Angeles Lakers,Miami Heat,0.5281431640364361
1573246800000 	,San Antonio Spurs,Boston Celtics,0.5542194734531447
1573254000000 	,New Orleans Pelicans,Charlotte Hornets,0.5165381715931765
1573257600000 	,Houston Rockets,Chicago Bulls,0.862801768608642
1573257600000 	,Dallas Mavericks,Memphis Grizzlies,0.5439044444015118
1573257600000 	,Oklahoma City Thunder,Golden State Warriors,0.5162162237565495
1573327800000 	,Denver Nuggets,Minnesota Timberwolves,0.7043850947417895
1573336800000 	,Indiana Pacers,Orlando Magic,0.6695803749246645
1573336800000 	,Philadelphia 76ers,Charlotte Hornets,0.7126556166626579
1573340400000 	,Milwaukee Bucks,Oklahoma City Thunder,0.548158828538765
1573342200000 	,Cleveland Cavaliers,New York Knicks,0.6112696227442176
1573344000000 	,Brooklyn Nets,Phoenix Suns,0.8836552051222453
1573347600000 	,Portland Trail Blazers,Atlanta Hawks,0.7932804336581012
1573349400000 	,Toronto Raptors,Los Angeles Lakers,0.6637629378638118
1573426800000 	,Minnesota Timberwolves,Detroit Pistons,0.5098105975221282
1573428600000 	,Boston Celtics,Dallas Mavericks,0.7466098472458074
1573428600000 	,San Antonio Spurs,Memphis Grizzlies,0.6967162670675733
1573430400000 	,Houston Rockets,New Orleans Pelicans,0.7481551645867199
1573439400000 	,Golden State Warriors,Utah Jazz,0.6975164834298054
1573439400000 	,Toronto Raptors,Los Angeles Clippers,0.5650491412802784
1573513200000 	,Indiana Pacers,Oklahoma City Thunder,0.5285354330069526
1573513200000 	,Philadelphia 76ers,Cleveland Cavaliers,0.8856141211307483
1573515000000 	,Miami Heat,Detroit Pistons,0.54167681020631
1573516800000 	,New York Knicks,Chicago Bulls,0.5129881661979115
1573520400000 	,Denver Nuggets,Atlanta Hawks,0.7962037002777853
1573520400000 	,Los Angeles Lakers,Phoenix Suns,0.836780456030565
1573520400000 	,Utah Jazz,Brooklyn Nets,0.6523668016414996
1573524000000 	,Portland Trail Blazers,Sacramento Kings,0.641083298619116
1573599600000 	,Charlotte Hornets,Memphis Grizzlies,0.5140521378179117
1573599600000 	,Philadelphia 76ers,Orlando Magic,0.6712089772795328
1573601400000 	,Boston Celtics,Washington Wizards,0.7434104709510729
1573601400000 	,Houston Rockets,Los Angeles Clippers,0.6644188880025288
1573603200000 	,San Antonio Spurs,Minnesota Timberwolves,0.6504805404762382
1573610400000 	,Golden State Warriors,Los Angeles Lakers,0.670608437952307
1573610400000 	,Portland Trail Blazers,Toronto Raptors,0.5840845505305254
1573682400000 	,Miami Heat,Cleveland Cavaliers,0.7959907642381704
1573689600000 	,Milwaukee Bucks,Chicago Bulls,0.9184672670691229
1573689600000 	,Los Angeles Clippers,New Orleans Pelicans,0.6715765725982963
1573689600000 	,Dallas Mavericks,New York Knicks,0.7865214546591629
1573693200000 	,Atlanta Hawks,Phoenix Suns,0.8087039454711963
1573698600000 	,Denver Nuggets,Brooklyn Nets,0.6849977875217174
